timestamp,supply
1394502876,12499025
1394763575,12511600
1395030261,12523775
1395288515,12535725
1395535791,12548175
1395762954,12560500
1396010777,12572775
1396273065,12585050
1396501448,12597475
1396719288,12609550
1397016182,12622100
1397280437,12634225
1397509209,12646600
1397760512,12659125
1398034193,12672050
1398294828,12684450
1398563490,12697300
1398827070,12709875
1399106142,12722550
1399384353,12734450
1399648077,12747175
1399898839,12759425
1400164615,12771800
1400410367,12784100
1400664917,12796850
1400910060,12808975
1401188123,12821275
1401453259,12833075
1401705200,12845025
1401927785,12857025
1402210711,12868975
1402485511,12881200
1402737582,12893425
1402968360,12905825
1403218334,12917925
1403441726,12930350
1403673718,12942375
1403906543,12954500
1404171237,12966750
1404467639,12978550
1404732483,12990475
1405008798,13002750
1405277448,13014850
1405559228,13026875
1405803923,13039100
1406078897,13051175
1406350680,13063025
1406634792,13075125
1406913434,13087875
1407195260,13100125
1407467307,13112075
1407713530,13124450
1407962504,13136700
1408206220,13148575
1408447520,13161250
1408698177,13173350
1408976957,13185525
1409224228,13197550
1409465524,13209725
1409732516,13221875
1410004340,13234325
1410279794,13246625
1410546200,13258800
1410797280,13270900
1411039937,13283175
1411280012,13295400
1411549450,13307725
1411830221,13319750
1412117639,13331575
1412400688,13343500
1412658846,13355575
1412944423,13367250
1413225216,13379575
1413509755,13391525
1413790779,13403350
1414072729,13415450
1414346040,13427300
1414621772,13439175
1414857633,13451075
1415113820,13463125
1415395870,13475225
1415667342,13487000
1415953597,13498750
1416233784,13510650
1416514537,13522350
1416805224,13534100
1417100970,13546050
1417370302,13558025
1417671073,13569875
1417966000,13582075
1418244677,13593975
1418538689,13606100
1418846009,13618250
1419155584,13630500
1419439313,13642525
1419694288,13654275
1419958255,13666450
1420216917,13678550
1420476217,13690825
1420755138,13702850
1421033618,13714825
1421334284,13726725
1421616535,13738750
1421920706,13750800
1422240978,13762575
1422532146,13774975
1422801568,13787475
1423083088,13799300
1423342306,13811675
1423621298,13823650
1423908682,13835300
1424177194,13847125
1424429768,13859250
1424719194,13871100
1424998228,13883075
1425286109,13895125
1425573666,13907200
1425847335,13919100
1426132875,13931325
1426423469,13942950
1426716149,13954775
1427010864,13966600
1427265945,13978425
1427522120,13990200
1427799939,14002000
1428078992,14013975
